Water_Absorption_%,Plasticizer,Polymer_1,Toughener_1,Colorant,Stabilizer_1,Flame_retardant_1,Antioxidant,Metal_powder_1,Metal_powder_2,Metal_powder_3,Antistatic,Polymer_2,Stabilizer_2,Toughener_2,Clarifier_1,Clarifier_2,Clarifier_3,Polymer_3,Polymer_4,UV_absorber_1,UV_absorber_2,Flame_retardant_2,Polymer_5,Stabilizer_3,Filler_1,Filler_2,Toughener_3,Filler_3
2.11,0.08,0.35,0.00,0.87,0.00,0.70,0.00,0.94,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00
3.00,0.35,0.71,0.99,0.29,0.80,0.81,0.33,0.00,0.00,0.35,0.03,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.97,0.08,0.83,0.77,0.00,0.00,0.73,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.96,0.46,0.62,1.00,0.42,0.90,0.88,0.34,0.04,0.00,0.04,0.00,0.13,0.14,0.15,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.83,0.33,0.40,0.00,0.00,0.00,0.63,0.00,0.96,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.51,0.49,0.30,0.00,0.48,0.93,0.69,0.35,0.96,0.00,0.44,0.00,0.02,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.21,0.61,0.19,0.00,0.37,0.86,0.95,0.34,0.98,0.00,0.00,0.00,0.11,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.99,0.08,0.81,0.00,0.30,0.81,0.77,0.00,0.00,0.20,0.00,0.00,0.12,0.07,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.15,0.15,0.62,0.00,0.53,0.97,0.81,0.00,0.00,0.00,1.00,0.07,0.64,0.25,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.50,0.00,0.69,0.00,0.54,0.98,0.76,0.00,0.08,0.00,0.69,0.15,0.45,0.36,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.49,0.00,0.61,0.00,0.00,0.00,0.71,0.00,0.00,0.22,0.00,0.00,1.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.74,0.00,0.60,0.00,0.00,0.48,0.72,0.00,0.00,0.91,0.00,0.00,0.92,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.19,0.01,0.70,0.00,0.06,0.64,0.85,0.00,0.00,0.51,0.00,0.00,0.35,0.36,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.20,0.00,0.72,0.00,0.00,0.27,0.72,0.00,0.01,1.00,0.00,0.00,0.48,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.91,0.26,0.60,0.00,0.53,0.97,0.81,0.00,0.04,0.26,0.81,0.00,0.49,0.61,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.77,0.35,0.64,0.00,0.53,0.97,0.84,0.00,0.01,0.00,0.13,0.00,0.35,0.35,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.78,0.41,0.61,0.00,0.00,0.54,0.88,0.00,0.00,0.10,0.00,0.00,0.38,0.24,0.73,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.08,0.33,0.59,0.00,0.39,0.88,0.83,0.00,0.00,0.00,0.32,0.00,0.58,0.39,0.46,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.59,0.36,0.69,0.00,0.39,0.87,0.86,0.00,0.05,0.20,0.00,0.18,0.07,0.17,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.45,0.30,0.64,0.00,0.46,0.93,0.84,0.00,0.01,0.00,0.00,0.12,0.40,0.38,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.05,0.27,0.59,0.00,0.41,0.89,0.83,0.00,0.01,0.26,0.00,0.00,0.62,0.54,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.14,0.33,0.63,0.00,0.27,0.79,0.86,0.00,0.00,0.13,0.00,0.00,0.40,0.43,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.68,0.30,0.70,0.00,0.57,1.00,0.83,0.00,0.02,0.08,0.67,0.05,0.15,0.33,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.19,0.37,0.59,0.00,0.20,0.74,0.85,0.00,0.00,0.00,0.00,0.00,0.56,0.26,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.68,0.17,0.62,0.00,0.19,0.73,0.83,0.00,0.00,0.42,0.00,0.00,0.57,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.86,0.29,0.63,0.00,0.50,0.95,0.86,0.00,0.02,0.05,0.88,0.00,0.32,0.47,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.43,0.21,0.59,0.00,0.56,1.00,0.84,0.00,0.17,0.07,0.70,0.00,0.37,0.39,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.31,0.39,0.62,0.00,0.20,0.74,0.87,0.00,0.00,0.26,0.00,0.00,0.37,0.31,0.64,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.75,0.31,0.71,0.00,0.16,0.71,0.81,0.00,0.00,0.00,0.49,0.01,0.19,0.18,0.36,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.96,0.47,0.59,0.00,0.43,0.90,0.89,0.00,0.00,0.00,0.04,0.07,0.36,0.45,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.76,0.26,0.69,0.00,0.57,1.00,0.82,0.00,0.00,0.00,0.52,0.29,0.28,0.31,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.46,0.56,0.55,0.00,0.32,0.82,0.93,0.00,0.00,0.07,0.00,0.62,0.32,0.53,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.96,0.30,0.65,0.00,0.57,1.00,0.83,0.00,0.02,0.08,0.47,0.66,0.30,0.41,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.05,0.43,0.60,0.00,0.00,0.49,0.87,0.00,0.00,0.11,0.00,1.00,0.36,0.28,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.87,0.46,0.53,0.00,0.53,0.97,0.87,0.00,0.02,0.04,0.00,0.67,0.56,0.54,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.53,0.54,0.69,0.00,0.27,0.79,0.87,0.00,0.01,0.00,0.50,0.00,0.00,0.39,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.84,0.00,0.81,0.00,0.00,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00
3.66,0.17,0.69,0.00,0.00,0.33,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
2.99,0.00,0.64,0.00,0.42,0.89,0.84,0.00,0.00,0.12,0.02,0.00,0.37,0.50,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00
1.58,0.00,0.81,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00
3.99,0.24,0.55,0.00,0.00,0.99,0.91,0.36,0.03,0.05,0.00,0.19,0.27,0.68,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00
1.70,0.00,0.76,0.00,0.00,0.01,0.76,0.18,0.00,0.16,0.28,0.00,0.12,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.00
2.86,0.40,0.69,0.75,0.41,0.89,0.85,0.34,0.02,0.00,0.33,0.00,0.11,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.38,0.27,0.71,0.70,0.00,0.54,0.77,1.00,0.03,0.00,0.99,0.00,0.09,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.78,0.00,0.74,0.63,0.00,0.00,0.80,0.54,0.00,0.00,0.87,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00
2.84,0.39,0.72,0.68,0.00,0.38,0.81,0.61,0.00,0.51,0.00,0.00,0.03,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.30,1.00,0.51,0.69,0.00,0.41,0.96,0.62,0.00,0.24,0.00,0.00,0.28,0.57,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.33,0.00,0.74,0.50,0.00,0.00,0.81,0.35,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00
3.62,0.10,0.65,0.62,0.00,0.00,0.93,0.53,0.01,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
3.54,0.03,0.57,0.75,0.48,0.93,0.96,0.71,0.01,0.07,0.00,0.06,0.18,0.54,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,1.00
2.74,0.57,0.60,0.97,0.12,0.68,1.00,0.70,0.02,0.25,0.52,0.00,0.09,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.49,0.02,0.67,0.83,0.25,0.78,0.85,0.83,0.00,0.10,0.00,0.06,0.09,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00
2.39,0.25,0.74,0.79,0.00,0.42,0.84,0.76,0.00,0.24,0.00,0.00,0.02,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.86,0.00,0.72,0.00,0.00,0.00,0.90,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1.65,0.89,0.48,0.00,0.40,0.00,0.73,0.45,0.43,0.00,0.59,0.13,0.02,1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
